crop_name,nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall
Rice,110,55,50,27.5,85,6.3,210
Maize (Corn),95,65,55,24,70,6.5,160
Wheat,85,50,45,18,65,6.8,90
Barley,75,45,40,16,70,6.9,75
Sorghum,80,50,45,28,55,6.5,80
Oats,70,40,35,15,75,6.4,85
Ragi (Finger Millet),50,45,35,28.0,55.0,6.5,80.0
Quinoa,90,75,60,17,55,7,45
Chickpea,35,75,85,21,45,7.2,65
Lentil,30,70,75,20,50,6.8,55
Kidney Bean,35,80,70,22,60,6.2,95
Pigeon Pea,30,75,75,28,55,6.9,110
Mung Bean,35,65,70,30,70,6.7,80
Black Gram,40,70,75,29,72,6.8,95
Soybean,45,85,90,25,68,6.5,120
Peanut,40,90,85,28,65,6.3,100
Mango,35,30,55,28.5,70,6.4,125
Banana,115,90,65,29,88,6.2,145
Apple,40,130,190,17,60,6.3,130
Orange,45,30,35,22,65,6.7,135
Grapes,30,35,75,23,62,6.4,90
Pomegranate,25,30,65,26,55,6.5,85
Watermelon,110,85,60,26,85,6.5,90
Papaya,75,70,75,28,70,6.5,145
Coconut,40,30,55,27,80,6.6,220
Pineapple,65,45,80,26.5,85,5.8,150
Guava,50,40,60,27,75,6.9,110
Lychee,55,60,70,25,80,6.7,130
Fig,40,50,65,21,65,7,80
Cherry,60,45,80,18,70,6.5,95
Strawberry,80,50,100,20,85,6.2,70
Blueberry,50,60,70,19,70,5,85
Potato,120,80,180,18,75,6,75
Tomato,90,60,140,24,65,6.4,80
Onion,100,70,90,20,70,6.5,65
Carrot,70,50,120,19,75,6.6,50
Cabbage,130,70,100,18,80,6.7,90
Cauliflower,125,65,90,19.5,75,6.8,100
Spinach,110,50,60,17,70,6.9,45
Lettuce,90,40,50,16,80,6.5,40
Bell Pepper,100,75,130,25,70,6.6,75
Cucumber,80,40,90,26,85,6.7,60
Eggplant,110,60,120,27,70,6.3,85
Radish,60,40,80,15,75,6.8,55
Sweet Potato,80,60,150,26,70,6.2,90
Okra,90,50,70,28,75,6.9,80
Coffee,115,50,85,25,65,6.2,190
Tea,120,60,70,21,80,5.5,220
Cotton,135,65,110,26,80,6.8,80
Jute,100,75,75,31,78,6.7,160
Sugarcane,150,80,120,30,80,7,250
Tobacco,140,90,160,25,75,6.1,100
Sunflower,80,90,85,23,55,6.9,65
Mustard,75,85,80,15,65,6.5,50
Saffron,40,60,90,16,40,7.5,35
Cacao (Cocoa),100,80,120,25.5,85,6.5,180
Rubber,60,40,50,28,80,5.2,250
Ginger,80,70,150,24,85,6.3,140
Turmeric,90,60,140,25,80,6.4,150
